days,date,streamflow,precip,temp_min,temp_max,humidity_spec,radiation_sw
256,2017-09-13,0.5493411,3.75,1.9,10.301,0.00596427917480469,31.75
257,2017-09-14,0.5898323,0.87,3.238,12.604,0.0059356689453125,80.875
258,2017-09-15,0.5976793,2.81,1.213,12.988,0.00566673278808594,109.875
259,2017-09-16,0.5868899,0.35,1.352,13.551,0.00549983978271484,120.875
260,2017-09-17,0.5482513,0.42,1.169,11.924,0.00507450103759766,124.25
261,2017-09-18,0.4987895,0,3.346,13.28,0.00549030303955078,101.1875
262,2017-09-19,0.458223,0.21,5.791,10.948,0.00635433197021484,117.6875
263,2017-09-20,0.4795605,3.04,2.842,6.571,0.00614452362060547,47.625
264,2017-09-21,0.5183838,5.12,2.784,5.466,0.00491523742675781,14.5
265,2017-09-22,0.5586608,3.17,3.433,6.823,0.00505733489990234,18.75
266,2017-09-23,0.582966,0.52,4.094,10.336,0.00366306304931641,20.75
267,2017-09-24,0.5790423,0.14,7.01,9.321,0.00625038146972656,58.5625
268,2017-09-25,0.562367,0.52,7.348,9.499,0.00690174102783203,33.625
269,2017-09-26,0.5378419,0.68,6.064,8.313,0.00627231597900391,67.0625
270,2017-09-27,0.5239435,3.89,6.776,8.708,0.00611114501953125,55.625
271,2017-09-28,0.5039276,0.07,6.37,8.555,0.00623321533203125,27.9375
272,2017-09-29,0.4751912,0.04,4.711,7.987,0.00593376159667969,32.3125
273,2017-09-30,0.4565772,1.56,4.803,6.274,0.00536155700683594,32.625
274,2017-10-01,0.4450559,1.91,3.808,7.101,0.00521183013916016,12
275,2017-10-02,0.5827424,15.96,5.64,10.178,0.00572967529296875,7.8125
276,2017-10-03,0.7998258,6.99,1.64,8.486,0.00572013854980469,28.9375
277,2017-10-04,0.835587,0.41,1.036,5.718,0.00506687164306641,48.1875
278,2017-10-05,0.7897267,0.53,-2.857,7.304,0.00425624847412109,27.75
279,2017-10-06,0.72598,0,-0.387,9.066,0.00457191467285156,79.4375
280,2017-10-07,0.6539728,0,1.154,6.239,0.00461292266845703,77.3125
281,2017-10-08,0.6018278,0,-2.415,9.057,0.00348758697509766,75.0625
282,2017-10-09,0.5522295,0,-5.599,7.342,0.00350666046142578,88.125
283,2017-10-10,0.5074762,0,-6.449,2.117,0.00314521789550781,95.875
284,2017-10-11,0.5013059,2.75,-3.861,2.605,0.003509521484375,34.1875
285,2017-10-12,0.6561207,15.92,0.42,6.412,0.00432395935058594,8.25
286,2017-10-13,0.8509938,0.79,-2.214,5.842,0.00442600250244141,39.3125
287,2017-10-14,0.928769,4.71,0.71,9.087,0.00503635406494141,20.125
288,2017-10-15,0.8967856,0,1.644,10.973,0.00491046905517578,62.4375
289,2017-10-16,0.834308,0.06,3.122,10.921,0.00603008270263672,11.25
290,2017-10-17,0.8243313,6.3,0.438,6.331,0.00433921813964844,64.375
291,2017-10-18,0.9836354,8.8,-2.939,7.055,0.00463581085205078,7.375
292,2017-10-19,1.001497,0,-6.932,2.386,0.00334358215332031,55.9375
293,2017-10-20,0.9383066,0.04,-0.169,1.736,0.00340557098388672,63.375
294,2017-10-21,0.9180213,7.03,0.404,1.62,0.00396537780761719,7.125
295,2017-10-22,0.9099604,3.81,-0.046,1.245,0.00394916534423828,15.3125
296,2017-10-23,0.9045867,0.44,-1.604,0.22,0.00363636016845703,8.0625
297,2017-10-24,0.8522096,3.13,-2.175,-0.586,0.00310325622558594,14.25
298,2017-10-25,0.8118595,11.93,-2.67,3.326,0.00336551666259766,3.75
299,2017-10-26,0.7585492,0,-2.034,5.148,0.00397777557373047,33.25
300,2017-10-27,0.7214219,0.02,-3.026,3.835,0.00434017181396484,20.5
301,2017-10-28,0.6699898,0,1.256,5.179,0.00443649291992188,20.0625
302,2017-10-29,0.6612316,2.88,-2.26,2.14,0.00352191925048828,48.625
303,2017-10-30,0.6358241,0,-4.818,-0.492,0.00239467620849609,48.8125
304,2017-10-31,0.582966,0.06,-3.495,4.599,0.00306415557861328,41.625
305,2017-11-01,0.5387681,0,0.758,6.814,0.00472354888916016,36.6875
306,2017-11-02,0.5285762,0,-2.037,6.353,0.00553512573242188,10.875
307,2017-11-03,0.5174574,0,-4.093,3.469,0.00409984588623047,40.6875
308,2017-11-04,0.4995582,0,-3.314,4.589,0.00383281707763672,36.125
309,2017-11-05,0.5239435,12.76,-1.352,1.954,0.00422000885009766,15.125
310,2017-11-06,0.5276499,2.21,-6.767,0.485,0.00371837615966797,9.1875
311,2017-11-07,0.4978106,0,-7.785,1.807,0.00264167785644531,38.5625
312,2017-11-08,0.4725693,0,-1.4,3.077,0.00370025634765625,22.6875
313,2017-11-09,0.4392951,0,-1.198,3.369,0.00411701202392578,12.5
314,2017-11-10,0.4286957,3.64,-5.914,-0.03,0.00339984893798828,19.6875
315,2017-11-11,0.4077079,0.23,-8.694,0.098,0.00289440155029297,17.125
316,2017-11-12,0.3901042,0,-6.697,1.55,0.00332450866699219,20.875
317,2017-11-13,0.3857477,0,-9.414,0.021,0.00313568115234375,26.9375
318,2017-11-14,0.3609659,3.62,-10.877,0.744,0.00231552124023437,26.375
319,2017-11-15,0.3639622,0.13,-3.613,1.559,0.00370407104492187,15.125
320,2017-11-16,0.345093,0,-6.127,1.23,0.00322246551513672,23.625
321,2017-11-17,0.3416464,3.21,-3.334,0.303,0.00339984893798828,3.625
322,2017-11-18,0.3457275,8.15,-9.544,-0.249,0.00298500061035156,15.25
323,2017-11-19,0.3409664,1.02,-13.305,-2.206,0.00284957885742187,11.375
324,2017-11-20,0.3307641,0,-14.867,-3.679,0.00272464752197266,22
325,2017-11-21,0.3235043,0,-17.43,-7.579,0.00196361541748047,14.625
326,2017-11-22,0.3309856,5.87,-17.028,-9.546,0.00146961212158203,18.875
327,2017-11-23,0.3539809,25.44,-11.07,4.957,0.001861572265625,2
328,2017-11-24,0.3595137,1.76,-6.856,0.734,0.00337600708007812,0.4375
329,2017-11-25,0.3566096,0,-11.144,-2.136,0.00255107879638672,15.375
330,2017-11-26,0.3582453,2.46,-8.05,-1.896,0.00265312194824219,7.75
331,2017-11-27,0.3567013,3.48,-16.366,-4.563,0.00224113464355469,2.875
332,2017-11-28,0.3525286,1.15,-11.13,-4.697,0.00186634063720703,9.9375
333,2017-11-29,0.3409664,4.26,-18.938,-3.581,0.00243949890136719,3.1875
334,2017-11-30,0.3436871,0.7,-20.108,-5.188,0.00122737884521484,13.125
335,2017-12-01,0.339606,1.13,-19.394,-5.519,0.00181102752685547,5.6875
336,2017-12-02,0.3209606,0,-13.063,2.493,0.00189399719238281,10.6875
337,2017-12-03,0.308702,0,-7.583,2.992,0.00417804718017578,5
338,2017-12-04,0.3061586,0,-9.038,-2.054,0.00270557403564453,11.5625
339,2017-12-05,0.280984,0,-6.578,3.027,0.002960205078125,12.5625
340,2017-12-06,0.2845432,5.71,-3.519,1.932,0.00403881072998047,4.6875
341,2017-12-07,0.278018,1.58,-3.117,4.211,0.00361251831054687,0.6875
342,2017-12-08,0.2768315,0.16,-2.332,0.636,0.00373935699462891,0.4375
343,2017-12-09,0.2726789,0,-6.984,-1.334,0.00294017791748047,5.5
344,2017-12-10,0.2644147,0,-19.591,-6.359,0.0018157958984375,6.625
345,2017-12-11,0.2550271,0,-19.683,-9.245,0.000966072082519531,9.0625
